price	mileage	year	brand	engingeType	engineCapacity
92000	75600	2012	Volvo	benzyna	3200
49300	21000	2016	Kia	diesel	1396
45900	66000	2015	Toyota	diesel	1400
32900	115000	2015	Skoda	diesel	1600
36900	200000	2012	Renault	diesel	2000
25900	105000	2014	Opel	diesel	1300
139900	104000	2013	Mercedes-Benz	diesel	3000
43900	53000	2015	Ford	benzyna	1000
11000	186800	2003	SEAT	diesel	1900
105000	57000	2012	Mercedes-Benz	diesel	2143
70000	174000	2010	Mercedes-Benz	diesel	3500
52900	71500	2013	Toyota	benzyna	1798
70000	10500	2016	Ford	benzyna	1500
7900	276000	2005	Ford	diesel	1998
29500	78000	2006	Suzuki	benzyna	1995
18900	218000	2010	Skoda	diesel	1896
11900	211000	2004	Ford	diesel	1560
11900	211000	2004	Ford	diesel	1560
13000	240000	2007	Mazda	diesel	2000
25500	15000	2015	Volkswagen	benzyna	999
31000	258000	2007	Audi	diesel	2000
119900	207000	2010	Audi	diesel	3000
42800	82254	2011	Hyundai	benzyna	1600
12900	115000	2009	Citroen	diesel	1400
28600	204115	2009	Ford	diesel	1997
70900	125500	2009	Audi	benzyna	4200
23000	193000	2007	Toyota	diesel	1998
12000	160000	2006	Nissan	diesel	1461
17000	178000	2006	Audi	benzyna	1600
6000	50000	2001	Renault	diesel	1970
42200	235456	2010	Skoda	diesel	1968
3500	320000	2004	Ford	diesel	2000
61800	69000	2015	Volvo	diesel	2000
12500	204000	2005	Ford	gaz	2000
27200	174000	2010	Volkswagen	diesel	1600
12000	201500	1999	Honda	benzyna	1973
28500	134000	2012	SEAT	diesel	1600
15500	76734	2011	Chevrolet	gaz	1206
20500	172000	2008	Skoda	diesel	1900
2300	1800000	1998	Renault	benzyna	1200
12950	285000	2004	Volkswagen	diesel	2000
11000	182000	2005	Renault	diesel	1870
18700	131000	2006	Opel	diesel	1700
34000	218000	2005	Jeep	diesel	3000
59900	88000	2012	Volkswagen	benzyna	1800
21525	185000	2007	Ford	diesel	2000
39000	184000	2009	Skoda	diesel	1968
8900	280500	2004	Alfa	diesel	2400
21000	135000	2009	Fiat	gaz	1600
16500	102000	2010	Citroen	diesel	1600
54500	50000	2012	Hyundai	benzyna	1600
4290	325000	2002	Opel	diesel	1686
36900	182000	2008	Suzuki	diesel	1870
5000	215344	1996	Opel	benzyna	2500
12000	50000	2009	Nissan	benzyna	1240
45000	128000	2010	Peugeot	diesel	2200
48500	64000	2015	Suzuki	benzyna	1600
