price	isNew	rooms	floor	location	sqrMeters
476118.0	False	3	1	Centrum	78
459531.0	False	3	2	Sołacz	62
411557.0	False	3	0	Sołacz	15
496416.0	False	4	0	Sołacz	14
406032.0	False	3	0	Sołacz	15
450026.0	False	3	1	Naramowice	80
571229.15	False	2	4	Wilda	39
325000.0	False	3	1	Grunwald	54
268229.0	False	2	1	Grunwald	90
604836.0	False	4	5	Grunwald	40
232050.0	False	3	0	Nowe	41
399406.0	False	3	2	Wilda	89
305739.0	False	2	2	Grunwald	53
531976.68	False	4	1	Wilda	38
288465.0	True	2	1	Starołęka	77
305000.0	True	3	3	Winogrady	47
410000.0	True	2	5	Rataje	30
305000.0	True	3	3	Winogrady	48
289000.0	True	2	2	Zawady	48
419000.0	True	2	0	Rataje	56
193000.0	True	2	5	Malta	37
270000.0	True	3	4	Rataje	48
360000.0	True	3	2	Rataje	20
240000.0	True	2	10	Rataje	36
299000.0	True	2	4	Nowe	47
298000.0	True	2	4	Wilda	45
289000.0	True	2	2	Komandoria	48
300000.0	True	2	1	Podolany	45
177000.0	True	2	2	Dębiec	25
404000.0	True	3	2	Rataje	70
335000.0	True	3	7	Rataje	63
305000.0	True	3	3	Winogrady	60
254900.0	True	2	14	Winogrady	80
348000.0	True	3	9	Rataje	65
320000.0	True	3	4	Winogrady	50
284000.0	True	3	4	Rataje	48
188000.0	True	2	2	Dębiec	61
477000.0	True	4	3	Piątkowo	70
390000.0	True	3	2	Podolany	68
439000.0	True	3	3	Piątkowo	70
263000.0	True	2	1	Rataje	44
435000.0	True	2	0	Świerczewo	60
610000.0	True	3	6	Centrum	77
714000.0	True	3	2	Malta	84
295000.0	True	2	2	Naramowice	58
270000.0	True	3	10	Nowe	48
259000.0	True	2	0	Rataje	38
350000.0	True	3	0	Jeżyce	90
295000.0	True	2	2	Grunwald	60
338000.0	True	3	1	Jeżyce	37
420000.0	True	4	3	Jeżyce	78
565000.0	True	4	0	Sołacz	90
355000.0	True	2	3	Nowe	90
330000.0	True	2	4	Chwaliszewo	56
299000.0	True	2	16	Rataje	49
270000.0	True	2	2	Sołacz	49
329000.0	True	3	3	Jeżyce	45
405000.0	True	3	2	Rataje	70
270000.0	True	2	2	Winogrady	49
235000.0	True	2	6	Winogrady	38
270000.0	True	2	2	Sołacz	49
365000.0	True	3	2	Jeżyce	50
325000.0	True	3	1	Nowe	90
340000.0	True	3	16	Rataje	80
329000.0	True	3	2	Rataje	59
429000.0	True	3	4	Dębiec	60
349000.0	True	3	3	Rataje	63
329000.0	True	4	4	Nowe	20
249000.0	True	2	2	Grunwald	46
260000.0	True	2	0	Rataje	40
275000.0	True	2	9	Rataje	38
263000.0	True	2	1	Rataje	44
269000.0	True	2	9	Rataje	49
450000.0	True	3	11	Jeżyce	50
299000.0	True	3	2	Łazarz	80
330000.0	True	4	2	Rataje	62
289000.0	True	3	3	Rataje	48
750000.0	True	4	0	Naramowice	133
635000.0	True	4	3	Grunwald	70
279000.0	True	2	1	Naramowice	60
399900.0	False	3	1	Grunwald	34
255000.0	True	2	1	Winogrady	38
239000.0	True	2	1	Grunwald	36
229000.0	True	2	2	Wilda	50
348000.0	True	3	9	Rataje	65
384000.0	True	4	0	Grunwald	60
232034.0	True	2	1	Starołęka	86
270000.0	True	3	4	Rataje	48
350000.0	False	5	1	Komorniki	97
240000.0	True	2	16	Rataje	36
619000.0	True	4	0	Jeżyce	99
295000.0	True	3	4	Grunwald	45
349000.0	True	3	1	Grunwald	57
279000.0	True	3	0	Winogrady	48
269000.0	True	3	3	Winogrady	48
250000.0	True	2	6	Winogrady	42
270000.0	True	2	4	Jeżyce	43
285383.0	False	5	4	Winogrady	37
348750.0	False	2	3	Stare	47
240157.0	False	2	0	Winogrady	37
285678.0	False	2	2	Winogrady	42
272800.0	False	2	5	Winogrady	44
267702.0	False	2	2	Grunwald	45
327584.0	False	3	3	Grunwald	21
235000.0	False	2	3	Winogrady	38
286445.0	False	2	2	Winogrady	49
156085.0	False	2	2	Starołęka	30
282000.0	False	3	3	Winogrady	57
365000.0	True	4	4	Grunwald	64
519000.0	True	3	1	Rataje	50
779000.0	True	3	2	Stare	113
499000.0	True	4	2	Wilda	120
255000.0	True	3	0	Grunwald	53
270000.0	True	3	4	Rataje	48
257000.0	True	2	5	Rataje	49
499000.0	True	2	2	Stare	43
399000.0	True	3	1	Nowe	62
149000.0	True	3	5	Nowe	56
435000.0	True	3	5	Wilda	70
400000.0	False	4	0	Grunwald	81
389000.0	True	3	3	Stare	49
299000.0	True	3	6	Jeżyce	70
325000.0	True	3	3	Łazarz	62
399000.0	True	3	1	Grunwald	65
279000.0	True	2	1	Naramowice	60
334117.0	False	3	2	Grunwald	63
364620.0	False	3	2	Grunwald	80
529900.0	True	4	1	Podolany	103
369000.0	True	4	3	Grunwald	74
329000.0	True	2	2	Jeżyce	45
320000.0	True	3	4	Winogrady	54
275000.0	True	2	13	Rataje	80
295120.0	False	2	1	Winogrady	60
374000.0	True	3	4	Wilczak	30
288000.0	True	3	4	Winogrady	30
340000.0	True	3	1	Grunwald	70
329000.0	True	3	3	Piątkowo	60
290000.0	True	2	6	Sołacz	49
229000.0	True	4	3	Wilda	54
339000.0	True	3	1	Grunwald	65
288000.0	True	3	4	Winogrady	30
280000.0	True	3	1	Jeżyce	58
295000.0	True	2	2	Naramowice	50
264250.0	False	2	2	Jeżyce	29
308039.0	False	2	0	Winogrady	21
285200.0	False	2	1	Winogrady	46
346624.0	False	3	1	Ogrody	54
313566.0	False	3	1	Jeżyce	51
290970.0	False	2	0	Winogrady	60
304000.0	False	3	5	Winogrady	29
225316.0	False	2	0	Starołęka	33
186600.0	False	2	2	Starołęka	62
336474.0	False	3	4	Winogrady	27
299513.0	False	2	1	Starołęka	85
257000.0	False	3	1	Winogrady	76
244071.0	False	2	2	Starołęka	52
291838.0	False	2	0	Starołęka	55
322276.0	False	2	3	Winogrady	98
280860.0	False	2	1	Winogrady	30
297600.0	False	2	3	Winogrady	50
349668.0	False	2	1	Garbary	44
321656.0	False	2	1	Winogrady	88
302176.0	False	2	2	Malta	45
199000.0	True	2	1	Grunwald	33
363000.0	True	3	2	Grunwald	77
375000.0	True	3	4	Winogrady	65
287000.0	True	2	10	Winogrady	47
230000.0	True	2	1	Dębiec	37
365000.0	True	3	2	Rataje	65
389000.0	True	3	1	Naramowice	20
325000.0	True	2	2	Grunwald	35
391729.0	False	3	2	Winogrady	21
479000.0	True	3	3	Grunwald	23
249000.0	True	2	10	Grunwald	42
286000.0	True	2	5	Centrum	49
313000.0	True	2	4	Piątkowo	49
409000.0	True	3	1	Rataje	62
255000.0	True	2	1	Nowe	49
270000.0	True	3	4	Jeżyce	50
699000.0	True	2	1	Grunwald	68
330000.0	True	2	3	Wilda	53
335000.0	True	3	16	Rataje	80
488000.0	True	3	3	Grunwald	70
339000.0	True	3	1	Jeżyce	65
410000.0	True	3	5	Grunwald	81
269000.0	True	2	4	Naramowice	43
710000.0	True	5	7	Grunwald	91
359600.0	False	3	5	Grunwald	58
249441.0	False	2	2	Jeżyce	50
440000.0	True	4	1	Grunwald	95
389000.0	True	3	2	Jeżyce	50
590000.0	True	4	3	Rataje	90
706655.0	False	3	2	Nowe	45
269000.0	True	2	6	Rataje	70
240000.0	True	2	16	Rataje	36
310000.0	True	2	2	Centrum	53
240000.0	False	3	0	Nowe	64
230000.0	True	2	0	Grunwald	52
770000.0	True	4	1	Centrum	142
249000.0	True	2	4	Rataje	44
350000.0	True	2	1	Rataje	54
313000.0	True	2	4	Piątkowo	49
310000.0	True	2	2	Śródka	72
569000.0	True	4	0	Wilda	50
460000.0	True	4	2	Bonin	87
485000.0	True	2	2	Centrum	55
286000.0	True	2	5	Centrum	80
364000.0	True	3	1	Grunwald	62
299000.0	True	3	3	Wilda	66
365000.0	True	2	5	Wilda	30
237000.0	True	2	10	Grunwald	38
425000.0	True	4	6	Rataje	85
332160.0	True	2	1	Grunwald	60
230000.0	True	2	1	Dębiec	37
249000.0	True	2	10	Grunwald	42
270000.0	True	3	4	Rataje	48
350000.0	True	2	4	Jeżyce	56
309000.0	True	2	3	Grunwald	56
283500.0	True	2	0	Stare	50
177595.0	False	2	0	Nowe	29
339000.0	True	2	2	Centrum	53
399000.0	True	3	1	Grunwald	65
329000.0	True	3	3	Piątkowo	60
706655.0	False	3	2	Nowe	45
289000.0	True	2	2	Jeżyce	42
389000.0	True	3	0	Wilda	67
375000.0	True	3	4	Wilda	40
319000.0	True	3	2	Wilda	66
310000.0	True	3	0	Grunwald	60
252000.0	True	2	12	Winogrady	47
249147.0	False	2	4	Zawady	71
649000.0	True	4	0	Winogrady	80
204000.0	True	2	0	Grunwald	37
389000.0	True	3	4	Rataje	84
369000.0	True	3	0	Grunwald	87
300000.0	True	2	1	Naramowice	52
470000.0	True	4	2	Sołacz	87
326000.0	True	2	1	Winogrady	39
655000.0	True	3	4	Stare	60
348000.0	True	3	9	Rataje	65
399000.0	True	3	1	Bonin	68
390000.0	True	3	2	Podolany	68
265000.0	True	2	0	Centrum	40
279999.0	True	3	4	Winogrady	54
280000.0	True	3	9	Jeżyce	49
419000.0	True	2	0	Malta	56
249000.0	True	2	4	Grunwald	38
259000.0	True	2	3	Żegrze	49
270000.0	True	2	0	Jeżyce	20
349000.0	True	3	2	Grunwald	39
349000.0	True	2	3	Piątkowo	60
548000.0	True	3	1	Grunwald	84
